delta_tf,delta_idf,delta_entropy,y
-0.4399999999999995,57.0,1.9311346668133875,1.0
0.4399999999999995,-57.0,-1.9311346668133875,-1.0
0.8700000000000001,30.0,0.5780717318802266,1.0
-0.8700000000000001,-30.0,-0.5780717318802266,-1.0
0.28000000000000025,46.0,1.0984007728119352,1.0
-0.28000000000000025,-46.0,-1.0984007728119352,-1.0
0.6800000000000002,34.0,0.5628326122232836,1.0
-0.6800000000000002,-34.0,-0.5628326122232836,-1.0
0.6200000000000001,55.0,1.579757914367229,1.0
-0.6200000000000001,-55.0,-1.579757914367229,-1.0
-0.17999999999999972,31.0,1.2272379908738609,1.0
0.17999999999999972,-31.0,-1.2272379908738609,-1.0
1.7400000000000002,51.0,1.4233616970500451,1.0
-1.7400000000000002,-51.0,-1.4233616970500451,-1.0
0.8000000000000003,36.0,0.5284860221778167,1.0
-0.8000000000000003,-36.0,-0.5284860221778167,-1.0
0.56,36.0,1.2896435308229732,1.0
-0.56,-36.0,-1.2896435308229732,-1.0
0.6000000000000001,46.0,1.8592533866216885,1.0
-0.6000000000000001,-46.0,-1.8592533866216885,-1.0
0.3700000000000001,29.0,0.3292200252370756,1.0
-0.3700000000000001,-29.0,-0.3292200252370756,-1.0
-0.6799999999999997,46.0,1.0860726822985551,1.0
0.6799999999999997,-46.0,-1.0860726822985551,-1.0
0.77,46.0,1.0501412970410149,1.0
-0.77,-46.0,-1.0501412970410149,-1.0
2.37,46.0,0.9829477379145484,1.0
-2.37,-46.0,-0.9829477379145484,-1.0
0.2400000000000002,50.0,1.7485032829072904,1.0
-0.2400000000000002,-50.0,-1.7485032829072904,-1.0
1.21,53.0,1.7906327371152821,1.0
-1.21,-53.0,-1.7906327371152821,-1.0
2.35,55.0,1.8069257213526693,1.0
-2.35,-55.0,-1.8069257213526693,-1.0
1.67,54.0,1.6189647328600323,1.0
-1.67,-54.0,-1.6189647328600323,-1.0
0.8300000000000001,56.0,1.9311346668133875,1.0
-0.8300000000000001,-56.0,-1.9311346668133875,-1.0
2.95,56.0,1.8611270287005182,1.0
-2.95,-56.0,-1.8611270287005182,-1.0
0.7499999999999996,-41.0,-1.2863484002123289,-1.0
-0.7499999999999996,41.0,1.2863484002123289,1.0
0.46999999999999975,-75.0,-2.295090599779637,-1.0
-0.46999999999999975,75.0,2.295090599779637,1.0
0.9799999999999995,-65.0,-2.999705695798981,-1.0
-0.9799999999999995,65.0,2.999705695798981,1.0
-0.4200000000000008,-14.0,-1.2064798355333162,-1.0
0.4200000000000008,14.0,1.2064798355333162,1.0
-0.25,3.0,0.31190818057181746,1.0
0.25,-3.0,-0.31190818057181746,-1.0
